fecha,trabajo_realizado,calle,tipo,referencia,barrio,insumos_1,cantidad_1,insumos_2,cantidad_2,insumos_3,cantidad_3,insumos_4,cantidad_4
30/05/25,retiro de insumo,av san martin,publico,municipalidad,centro,lampara 80w,10,null,null,null,null,null,null
30/05/25,bajada de toma,av belgrano,publico,"paseo del agro, tio gere",null,null,null,null,null,null,null,null,null
30/05/25,colocacion de foto celula y lampara,independencia,privado,Escuela de capacitacion profesional N25 adolfo alsina,null,lampara 80w,4,fotocelula,1,null,null,null,null
30/05/25,extencion de alumbrado,null,null,"la loma, victoria al fondo, garnica cristina",null,null,null,null,null,null,null,null,null
30/05/25,colocacion de lampara,jesus fernandez,publico,pozo suni,null,lampara 80w,1,null,null,null,null,null,null
30/05/25,colocacion de lampara,juan mayuli,publico,juan mayulli y jesus fernandez,null,lampara 80w,1,null,null,null,null,null,null
30/05/25,reconexion,irigoyen,privado,"hipolito irigoyen casi matienzo, flia villalba",null,null,null,null,null,null,null,null,null
30/05/25,colocacion de lampara,pedro leon gallo,publico,pedro leon gallo y matienzo,null,lampara 80w,1,null,null,null,null,null,null
30/05/25,colocacion de lampara,matienzo,null,atras del hospital nuevo,null,lampara 80w,1,null,null,null,null,null,null
30/05/25,colocacion de lampara,pedro leon gallo,publico,entre cordoba y santa fe,null,lampara 80w,1,null,null,null,null,null,null
30/05/25,colocacion de lampara,av belgrano,publico,paseo del agro,null,lampara 80w,3,null,null,null,null,null,null
05/06/25,poda de planta ,null,null,frente de la chuchi matarazo,null,null,null,null,null,null,null,null,null
05/06/25,colocacion de lampara,congreso,publico,congreso y martin fierro,null,lampara 80w,1,null,null,null,null,null,null
05/06/25,retiro de guirnalda,null,null,null,null,null,null,null,null,null,null,null,null
05/06/25,colocacion de lampara,hector celario,publico,entre san martín y belgrano,belgrano,lampara 80w,1,null,null,null,null,null,null
05/06/25,colocacion de lampara,hector celario,publico,entre belgrano y lascano,belgrano,lampara 80w,1,null,null,null,null,null,null
05/06/25,colocacion de lampara,san martin,publico,esquina de paola juarez,bicentenario,lampara 80w,1,null,null,null,null,null,null
05/06/25,colocacion de lampara,san martin,publico,frente a cancha de fadel,null,lampara 80w,2,null,null,null,null,null,null
05/06/25,reconexion,null,privado,sala de mistol,null,cable subterraneo ,null,null,null,null,null,null,null
05/06/25,parada de pilar trifasico,null,null,en mistol,null,null,null,null,null,null,null,null,null
06/05/25,retiro de insumo,san martin,publico,municipalidad,centro,lampara 80w,15,null,null,null,null,null,null
06/05/25,colocacion de lampara,absalon rojas,publico,absalon rojas y san martín frente de jyr,null,lampara 80w,1,null,null,null,null,null,null
06/05/25,colocacion de lampara,27 de abril,publico,27 de abril y belgrano,null,lampara 80w,1,null,null,null,null,null,null
06/05/25,colocacion de lampara,belgrano,publico,entre chein y islas malvinas,null,lampara 80w,1,null,null,null,null,null,null
06/05/25,reprogramacion de timer,null,null,null,libertad,null,null,null,null,null,null,null,null
06/05/25,colocacion de lampara,namuncura,publico,frente escuela nueva,null,lampara 80w,1,null,null,null,null,null,null
06/05/25,colocacion de lampara,namuncura,publico,entre pedro leon gallo y ruta 34,null,lampara 80w,1,null,null,null,null,null,null
06/05/25,colocacion de lampara,pasaje domingo bravo,publico,null,30 viviendas,lampara 80w,1,null,null,null,null,null,null
06/05/25,colocacion de lampara,almirante brown,publico,p carol y almirante brown,null,lampara 80w,1,null,null,null,null,null,null
06/05/25,colocacion de lampara,chazarreta,publico,esquina de plazoleta,null,lampara 80w,1,null,null,null,null,null,null
06/05/25,reconexion,laprida,publico,entre chazarreta e irigoyen,null,"cable jn, polar",2 Mm,null,null,null,null,null,null
06/05/25,colocacion de lampara,pasaje juan felipe ibarra,publico,pasaje,independiente,lampara 80w,1,null,null,null,null,null,null
06/05/25,colocacion de lampara,pasaje de mario alosen,publico,donde vive mario alosen,null,lampara 80w,1,null,null,null,null,null,null
06/05/25,colocacion de lampara,null,publico,la loma al lado del canal del drenaje,null,lampara 80w,1,null,null,null,null,null,null
06/05/25,colocacion de lampara,null,publico,"loteo de figueora, chungui pereyra ",null,lampara 80w,1,null,null,null,null,null,null
06/05/25,trabajo en taller,null,null,taller,null,null,null,null,null,null,null,null,null
06/05/25,bajada de toma,jesus fernandez,null,yendo a pozo suni,null,null,null,null,null,null,null,null,null
07/05/25,retiro de insumo,av san martin,publico,municipalidad,centro,lampara 80w,10,null,null,null,null,null,null
07/05/25,cambio de lugar de poste,av san martin,null,null,null,null,null,null,null,null,null,null,null
07/05/25,reparaciones varias,null,null,Jardin 12 de octubre,null,null,null,null,null,null,null,null,null
07/05/25,reparaciones varias,null,null,Jardin 2 de abril,null,null,null,null,null,null,null,null,null
07/05/25,reparacion de comando,av belgrano,null,tauil,null,null,null,null,null,null,null,null,null
07/05/25,colocacion de lampara,null,null,Casa de adriana rodriguez,cooperativa,lampara 80w,1,null,null,null,null,null,null
07/05/25,conexion,null,null,flia roldan,cooperativa,null,null,null,null,null,null,null,null
07/05/25,colocacion de lampara,null,null,pasaje al lado del negocio de gilda,cooperativa,lampara 80w,1,null,null,null,null,null,null
07/05/25,colocacion de lampara,pasaje america,null,null,12 de octubre,lampara 80w,1,null,null,null,null,null,null
07/05/25,arreglo de poste,null,null,camino a la loma,null,null,null,null,null,null,null,null,null
07/05/25,trabajo en taller,null,null,taller,null,null,null,null,null,null,null,null,null
09/05/25,colocacion de lampara,ruta 34,publico,"sobre ruta 34 y matienzo, flia gallardo",null,lampara 80w,1,null,null,null,null,null,null
09/05/25,colocacion de lampara,ruta 34,null,"matienzo y ruta 34, gauchito gil",null,lampara 80w,1,null,null,null,null,null,null
09/05/25,colocacion de guirnalda con foco y bajada a tierra,null,publico,plazoleta del maipú,null,focos  ,5,null,null,null,null,null,null
09/05/25,colocacion de lampara,null,publico,plazoleta del maipú,null,lampara 80w,1,null,null,null,null,null,null
09/05/25,colocacion de lampara,matienzo,publico,matienzo y colón,null,lampara 80w,1,null,null,null,null,null,null
09/05/25,colocacion de lampara,martin fierro,null,martin fierro y godoy cruz,null,lampara 80w,2,null,null,null,null,null,null
09/05/25,colocacion de ventilador,null,null,sala de mistol,null,null,null,null,null,null,null,null,null
09/05/25,cambio de 3 llaves punto y tdm,null,null,escuela huellitas,null,null,null,null,null,null,null,null,null
05/02/25,retiro de insumo,null,null,municipalidad,null,adaptadores,60,null,null,null,null,null,null
05/02/25,colocacion de lampara,namuncura,privado,namuncura y ruta 34 (flia ortega),null,lamparas de 80w,1,null,null,null,null,null,null
05/02/25,colocacion de lampara,irigoyen,privado,irigoyen casi namuncura (flia perez),2 de abril,lamparas de 80w,1,null,null,null,null,null,null
05/02/25,extension ,av san martin,publico,en el barrio del gringo figueroa,san martin,cable,100mt,brazo,2,lamparas de 80w,2,null,null
05/02/25,colocacion de lampara,urquiza,publico,entre irigoyen y chazarreta,null,lamparas de 80w,1,null,null,null,null,null,null
05/02/25,reparacion de comando,null,null,null,null,null,null,null,null,null,null,null,null
05/02/25,poda de arbol,jesus fernandez,null,jesus fernandez y 20 de junio,null,null,null,null,null,null,null,null,null
05/02/25,reparacion de luminaria y antivandalos,null,null,null,null,null,null,null,null,null,null,null,null
05/02/25,cambio de llave,null,privado,en oficina de sanfi ,null,null,null,null,null,null,null,null,null
10/01/25,colocacion de lampara,tucuman,publico,tucuman y uriarte,null,lamparas de 80w,2,null,null,null,null,null,null
10/01/25,reconexion,tucuman,privado,tucuman y america del norte,null,null,null,null,null,null,null,null,null
10/01/25,colocacion de lampara,san martin,publico,san martin y rafael ruiz,null,lamparas de 80w,null,null,null,null,null,null,null
10/01/25,trabajo en taller,null,null,null,null,null,null,null,null,null,null,null,null
10/01/25,colocacion de lampara,null,null,la loma,null,lamparas de 80w,14,null,null,null,null,null,null
10/01/25,reconexion,null,null,la loma,null,portalamparas,4,null,null,null,null,null,null
10/01/25,retiro de insumo,null,null,municipalidad,null,lamparas de 80w,10,null,null,null,null,null,null
10/01/25,reconexion,chein,null,chein y belgrano (cifra),null,null,null,null,null,null,null,null,null
10/01/25,revision de cable robado,null,null,null,las americas,null,null,null,null,null,null,null,null
10/01/25,colocacion de lampara,santa fe,null,null,las penquitas,lamparas de 80w,1,null,null,null,null,null,null
10/01/25,revision de instalacion electrica,null,null,null,villa elisa,lamparas de 80w,1,antivandalo,-1,null,null,null,null
15/01/25,retiro de insumo,null,null,municipalidad,null,cable de aluminio,100mt,null,null,null,null,null,null
15/01/25,extension ,av belgrano,publico,predio del ferro,null,cable,60mt,null,null,null,null,null,null
15/01/25,bajada para bomba de agua,ruta 34,privada,predio el ganzo,null,null,null,null,null,null,null,null,null
15/01/25,retiro de insumo,null,null,municipalidad,null,cable concentrico,null,null,null,null,null,null,null
15/01/25,trabajo en taller,null,null,null,null,null,null,null,null,null,null,null,null
17/01/25,colocacion,av san martin,privada,predio fiesta del trigo,9 de julio,antivandalo,5,lamparas de 80w,5,null,null,null,null
17/01/25,conexion,av san martin,privada,predio fiesta del trigo,9 de julio,cable concentrico,60mt,null,null,null,null,null,null
17/01/25,bajada de electricidad,av san martin,privada,predio fiesta del trigo,9 de julio,toma corriente,2,null,null,null,null,null,null
17/01/25,colocacion de lampara,ruta 34 (vieja),publico,ruta 34 frente a sportivo,cooperativa,lampara de 80w,2,null,null,null,null,null,null
17/01/25,colocacion de lampara,godoy cruz,publico,guemes y godoy cruz,102,lampara de 80w,1,null,null,null,null,null,null
17/01/25,retiro de insumo,null,null,municipalidad,null,lampara de 80w,11,null,null,null,null,null,null
17/01/25,colocacion de lampara,guemes,publico,libertad y remedios de escalada,null,lampara de 80w,2,null,null,null,null,null,null
17/01/25,trabajo en taller,null,null,null,null,null,,null,null,null,null,null,null
17/01/25,colocacion,null,privado,municipalidad,null,ventilador de pared,1,null,null,null,null,null,null
17/01/25,colocacion de lampara,null,publico,moreno y mayuli,null,lampara de 80w,1,null,null,null,null,null,null
17/01/25,colocacion de lampara,null,publico,gral taboada e independencia,null,lampara de 80w,1,null,null,null,null,null,null
13/01/25,trabajo en taller,null,null,null,null,null,null,null,null,null,null,null,null
14/01/25,reconexion,libertad,privado,salon de guadalupe,hospital,cable,9mt,null,null,null,null,null,null
14/01/25,colocacion de lampara,borges,publico,entre inmigrantes y saavedra,null,lampara de 80w,3,null,null,null,null,null,null
14/01/25,arreglo de cable caido del alumbrado,borges,publico,borges y saavedra,null,null,null,null,null,null,null,null,null
14/01/25,reconexion,null,publico,plazoleta belgrano,null,lampara de 80w,3,cable,6mt,null,null,null,null
14/01/25,retiro de insumo,null,null,municipalidad,null,lampara de 80w,10,null,null,null,null,null,null
22/01/25,alumbrado,av san martin (prologacion),publico,vivero,null,lampara de 80w,3,portalampara,1,null,null,null,null
22/01/25,colocacion poste,null,privado,la cuchilla (molinari),null,poste,1,null,null,null,null,null,null
22/01/25,colocacion de lampara,congreso,publico,congreso y 12 de octubre,null,lampara de 80w,1,null,null,null,null,null,null
22/01/25,retiro de insumo,null,null,municipalidad,null,lampara de 80w,5,rollo de cable concentrico,1,null,null,null,null
22/01/25,colocacion de lampara,almirante brown,publico,almirante brown y namuncura,null,lampara de 80w,1,portalampara,1,null,null,null,null
22/01/25,revision de instalacion electrica,null,privado,negro torres funciona normal¿,trula,null,null,null,null,null,null,null,null
22/01/25,revision de instalacion electrica,av san martin (prolongacion norte),privado,concejal gomez funciona normal¿,null,null,null,null,null,null,null,null,null
22/01/25,colocacion de lampara,corrientes,publico,corrientes y andres chazarreta,null,lampara de 80w,2,null,null,null,null,null,null
22/01/25,colocacion de lampara,matienzo,publico,matienzo e hipolito irigoyen,null,lampara de 80w,1,null,null,null,null,null,null
06/02/25,retiro de insumo,null,null,municipalidad,null,lampara de 80w,10,null,null,null,null,null,null
06/02/25,retiro de mangueras y adornos,sarmiento,publico,sarmiento,null,null,null,null,null,null,null,null,null
06/02/25,revision de instalacion electrica,inmigrantes,publico,inmigrantes y sargento cabral,null,null,null,null,null,null,null,null,null
06/02/25,instalacion,null,publico,plazoleta del maipu,maipu,brazo doble,6,foco,14,null,null,null,null
06/02/25,reconexion,null,publico,plaza mitre,null,null,null,null,null,null,null,null,null
07/02/25,retiro de insumo,null,null,municipalidad,null,lampara de 80w,10,null,null,null,null,null,null
07/02/25,colocacion de lampara,dorrego,publico,entre 20 de junio y congreso,null,lampara de 80w,1,null,null,null,null,null,null
07/02/25,colocacion de lampara,sargento cabral,publico,dorrego y 12 de octubre,null,lampara de 80w,1,null,null,null,null,null,null
07/02/25,reparacion,absalon rojas,publico,entre san martin y libertad,null,null,null,null,null,null,null,null,null
31/01/25,retiro de insumo,null,null,municipalidad,null,cable,150mt,null,null,null,null,null,null
31/01/25,colocacion y retiro de cable,null,privado,predio fiesta del trigo,null,antivandalos,5,lampara de 80w,5,toma corriente,1,null,null
31/01/25,extension de alumbrado,null,privado,flias cisneros y rojas ¿,null,alumbrado,150mt,brazo,3,lamparas de 80w,3,null,null
31/01/25,colocacion de lampara,null,privado,flia moreno¿,las americas,lampara de 80w,1,null,null,null,null,null,null
20/01/25,colocacion de lampara,libertad,null,libertad y 27 de abril,null,lampara de 80w,1,null,null,null,null,null,null
20/01/25,colocacion de lampara,islas malvinas,null,islas malvinas y libertad,null,lampara de 80w,1,null,null,null,null,null,null
20/01/25,colocacion de lampara,andres chazarreta,null,andres chazarreta e islas malvinas,null,lampara de 80w,1,null,null,null,null,null,null
20/01/25,colocacion de lampara,uriarte,null,uriarte y urquiza,null,lampara de 80w,1,null,null,null,null,null,null
20/01/25,colocacion de lampara,uriarte,null,uriarte y matienzo,null,lampara de 80w,1,null,null,null,null,null,null
20/01/25,colocacion de lampara,independencia,null,entre san martin y belgrano,null,lampara de 80w,2,null,null,null,null,null,null
20/01/25,colocacion de lampara,independencia,null,frente al centro cultural,null,lampara de 80w,1,null,null,null,null,null,null
20/01/25,retiro de insumo,null,null,municipalidad,null,lampara de 80w,10,null,null,null,null,null,null
20/01/25,poda de arbol,santiago del estero,null,santiago del estero y absalon rojas,null,null,null,null,null,null,null,null,null
20/01/25,colocacion de lampara,urquiza,null,urquiza matadero,null,lampara de 80w,1,null,null,null,null,null,null
20/01/25,trabajo en taller,null,null,null,null,null,null,null,null,null,null,null,null
24/01/25,retiro de tomas,null,null,null,null,null,null,null,null,null,null,null,null
24/01/25,colocacion de lampara,rivadavia,null,rivadavia y almirante brown,null,lampara de 80w,2,null,null,null,null,null,null
24/01/25,colocacion de lampara,colon,null,colon y santa fe,null,lampara de 80w,1,null,null,null,null,null,null
24/01/25,revision de instalacion electrica,almirante brown,null,almirante brown y matienzo,null,null,null,null,null,null,null,null,null
24/01/25,presta de luminaria,null,null,la cuchilla,null,150mt,null,null,null,null,null,null,null
24/01/25,colocacion,null,null,hogar de ancianos,null,foco,1,plafon led,4,null,null,null,null
24/01/25,colocacion de lampara,nestor diaz,null,barrio bicentenario calle nestor diaz,bicentenario,lampara de 80w,1,null,null,null,null,null,null
24/01/25,colocacion de lampara,los castillo,null,calle los castillo y cementerio,null,lampara de 80w,4,null,null,null,null,null,null
21/01/25,traslado,null,null,la cuchilla,null,postes,2,null,null,null,null,null,null
21/01/25,bajada de electricidad,null,null,barrio libertad,libertad,toma corriente,1,null,null,null,null,null,null
21/01/25,revision de instalacion electrica,null,null,barrio libertad,libertad,null,null,null,null,null,null,null,null
21/01/25,revision de instalacion electrica,null,null,barrio 21 de septiembre,21 de septiembre,null,null,null,null,null,null,null,null
21/01/25,colocacion de lampara,tucuman,null,tucuman y 25 de mayo,null,lampara de 80w,1,null,null,null,null,null,null
21/01/25,colocacion de lampara,tucuman,null,entre 25 de mayo y colon,null,lampara de 80w,1,null,null,null,null,null,null
21/01/25,colocacion de lampara,colon,null,entre tucuman y sarmiento,null,lampara de 80w,1,null,null,null,null,null,null
21/01/25,colocacion de lampara,tucuman,null,entre colon y almirante brown,null,lampara de 80w,1,null,null,null,null,null,null
21/01/25,colocacion de lampara,uriarte,null,casi alfonsin frente a maderera el aleman,null,lampara de 80w,1,null,null,null,null,null,null
21/01/25,revision de cable robado,25 de mayo,null,predio de los quichuista,null,null,null,null,null,null,null,null,null
21/01/25,retiro luces navideñas,santiago del estero,null,santiago del estero y dorrego,null,null,null,null,null,null,null,null,null
29/01/25,colocacion de lampara,rivadavia,null,entre colon y 25 de mayo,null,lampara de 80w,2,null,null,null,null,null,null
29/01/25,colocacion,,null,veredon,null,toma corriente,1,null,null,null,null,null,null
29/01/25,retiro de poste de alumbrado,lescano,null,calle lescano casi chein,belgrano,null,null,null,null,null,null,null,null
29/01/25,colocacion de lampara,rivadavia,null,flia minga corvalan,30 viviendas,lampara de 80w,1,null,null,null,null,null,null
29/01/25,reparacion,lugones,,lugones y rivadavia,30 viviendas,null,null,null,null,null,null,null,null
29/01/25,colocacion de lampara,pedro leon gallo,null,entre cordoba y santa fe,villa aurora,lampara de 80w,1,null,null,null,null,null,null
29/01/25,colocacion de lampara,null,null,flia farfan,santa rita,lampara de 80w,1,null,null,null,null,null,null
04/02/25,retiro de insumo,null,null,municipalidad,null,lampara de 80w,13,null,null,null,null,null,null
04/02/25,colocacion,null,null,municipalidad,null,soga,1,null,null,null,null,null,null
04/02/25,reconexion,belgrano,null,belgrano e independencia,null,null,null,null,null,null,null,null,null
04/02/25,reparacion,inmigrantes,null,barrio hospital calle inmigrantes,hospital,null,null,null,null,null,null,null,null
04/02/25,colocacion,paraje puesto nuevo,null,casa de mabel silva,puesto nuevo,brazo,1,lampara de 80w,1,null,null,null,null
04/02/25,colocacion de lampara,la loma,null,flia mercedes toloza,la loma,lampara de 80w,1,null,null,null,null,null,null
04/02/25,cambio de contactor,pozo zuni,null,pozo zuni,pozo zuni,null,null,null,null,null,null,null,null
04/02/25,colocacion de lampara,null,null,plazoleta belgrano,null,lampara de 80w,2,null,null,null,null,null,null
14/01/25,bajada de electricidad,av. san martin,null,av san martin barrio libertad,libertad,null,null,null,null,null,null,null,null
14/01/25,colocacion de lampara,dorrego,null,pasaje santos vega y dorrego,null,lampara de 80w,1,null,null,null,null,null,null
14/01/25,colocacion de lampara,libertad,null,libertad y rafael ruiz,null,lampara de 80w,1,null,null,null,null,null,null
14/01/25,trabajo en taller,null,null,null,null,null,null,null,null,null,null,null,null
15/01/25,colocacion de lampara y reconexiones,gerez,null,calle gerez junto a la tapia de sportivo,null,lampara de 80w,2,cable aluminio,150mt,null,null,null,null
02/02/25,colocacion de lampara,irigoyen,null,irigoyen barrio las malvinas lote de grigio,las malvinas,lampara de 80w,1,null,null,null,null,null,null
02/02/25,colocacion de lampara,chazarreta,null,chazarreta y laprida,null,lampara de 80w,2,null,null,null,null,null,null
02/02/25,reconexion,null,null,plazoleta del maipu,maipu,null,null,null,null,null,null,null,null
02/02/25,cambio de fotocelula,null,null,cic de las americas,las americas,fotocelula,1,lampara de 80w,2,null,null,null,null
02/02/25,traslado,null,null,sec. gonzales,null,cable concentrico,40mt,reflectores,2,null,null,null,null
03/02/25,retiro de insumo,null,null,municipalidad,null,lampara de 80w,10,lampara de 40w,10,null,null,null,null
03/02/25,colocacion de lampara,27 de abril,null,entre san martin y libertad,null,lampara de 80w,1,null,null,null,null,null,null
03/02/25,colocacion de lampara,27 de abril,null,entre libertad y remedios de escalada,null,lampara de 80w,1,null,null,null,null,null,null
03/02/25,colocacion de lampara,libertad,null,entre 27 de abril y santiago del estero,null,lampara de 80w,1,null,null,null,null,null,null
03/02/25,colocacion de lampara,moreno,null,moreno y mayuli,independiente,lampara de 80w,1,null,null,null,null,null,null
23/01/25,colocacion de lampara,corrientes,null,calle corrientes y publica,las penquitas,lampara de 80w,1,null,null,null,null,null,null
23/01/25,corte de cables sueltos,pedro leon gallo,null,pedro leon gallo y rivadavia,null,null,null,null,null,null,null,null,null
23/01/25,revision de cable cortado,los castillo,null,calle los castillo,null,fotocelula,1,null,null,null,null,null,null
23/01/25,trabajo en taller,null,null,null,null,null,null,null,null,null,null,null,null
23/01/25,retiro de insumo,null,null,municipalidad,null,lampara de 80w,10,null,null,null,null,null,null
24/01/25,trabajo en taller,null,null,null,null,null,null,null,null,null,null,null,null
24/01/25,cambio de llave,null,null,predio paseo del agro,null,llave bipolar de 20 A40amp,1,null,null,null,null,null,null
24/01/25,colocacion de lampara,null,null,cementerio,null,lampara de 80w,1,null,null,null,null,null,null
27/01/25,retiro de reflectores y palos,null,null,cancha de rugby,null,null,null,null,null,null,null,null,null
27/01/25, retiro de reflectores palos y cables,null,null,la cuchilla,null,null,null,null,null,null,null,null,null
27/01/25,colocaion de lampara,america central,null,frente a la escuela paul harris,null,lampara de 80w,1,null,null,null,null,null,null
27/01/25,colocacion de lampara,balcarce,null,entre colon y 25 de mayo,null,lampara de 80w,1,null,null,null,null,null,null
13/01/25,colocacion de lampara,hector celario,null,hector celario y libertad,null,lampara de 80w,1,null,null,null,null,null,null
13/01/25,colocacion de lampara y reubicaciones,libertad,null,libertad y garcia mendez,bicentenario,lampara de 80w,1,null,null,null,null,null,null
13/01/25,colocacion de lampara,santa fe,null,av. del agro y heroes de malvinas,null,lampara de 80w,2,null,null,null,null,null,null
13/01/25,colocacion de lampara,cordoba,null,cordoba y av. del agro,null,lampara de 80w,1,null,null,null,null,null,null
13/01/25,colocacion de lampara,ruta 34,null,flia velasquez,null,lampara de 80w,1,null,null,null,null,null,null
13/01/25,colocacion de lampara,null,null,taller de chato,las americas,lampara de 80w,4,null,null,null,null,null,null
13/01/25,reconexion,null,null,null,2 de abril,null,null,null,null,null,null,null,null
29/01/25,retiro luces navideñas,av. belgrano,null,av. belgrano,null,null,null,null,null,null,null,null,null
29/01/25,conexion,null,null,oficina del arqui,null,null,null,null,null,null,null,null,null
30/01/25,retiro de insumo,null,null,municipalidad,null,lampara de 80w,15,null,null,null,null,null,null
30/01/25,extension,null,null,pasaje detras del barrio aguila,null,cable desnudo,40mt,brazo,1,lampara de 80w,1,null,null
30/01/25,colocacion de lampara,jesus fernandez,null,pasaje santos vega y jesus fernandez,aguila,lampara de 80w,1,null,null,null,null,null,null
30/01/25,colocacion de lampara,jesus fernandez,null,entre santos vega y rene favaloro,null,lampara de 80w,1,null,null,null,null,null,null
30/01/25,colocacion de lampara,sargento cabral,null,entre dorrego y moreno,null,lampara de 80w,1,null,null,null,null,null,null
30/01/25,colocacion de lampara,null,null,frente a la escuela paul harris,las americas,lampara de 80w,1,null,null,null,null,null,null
16/01/25,reconexion,absalon rojas,null,frente a susi wozquivich,null,null,null,null,null,null,null,null,null
16/01/25,colocacion de lampara,remedios de escalada,null,pasaje roca,null,lampara de 80w,1,null,null,null,null,null,null
16/01/25,reconexion,san martin,null,flia luna,quemado,cable presamblado,50mt,lampara de 80w,1,null,null,null,null
16/01/25,recambio y colocacion de lampara,san martin,null,concejal gomez,libertad,brazo,1,lampara de 80w,1,null,null,null,null
16/01/25,colocaion de lampara,ruta 34 (vieja),null,calle alen y ruta 34 vieja,null,lampara de 80w,1,null,null,null,null,null,null
16/01/25,colocacion de lampara,null,null,flia pereyra,el canalito,lampara de 80w,1,null,null,null,null,null,null
16/01/25,colocacion de lampara,aguirre,null,entre urquiza y matienzo,null,lampara de 80w,1,null,null,null,null,null,null
16/01/25,colocacion de lampara,almirante brown,null,entre bolivia y rivadavia,null,lampara de 80w,1,null,null,null,null,null,null
16/01/25,colocacion de lampara,mar argentino,null,mar argentino y santa fe,2 de abril,lampara de 80w,1,null,null,null,null,null,null
16/01/25,colocacion de lampara,null,null,flia galvan,20 de junio,lampara de 80w,1,null,null,null,null,null,null
16/01/25,colocacion de lampara,moreno,null,moreno y remedios de escalada,null,lampara de 80w,1,null,null,null,null,null,null
22/01/25,colocacion,null,null,predio de los vidaleros,null,cable concentrico,30mt,null,null,null,null,null,null
22/01/25,retiro de luces navideñas,santiago del estero,null,de santiago del estero hasta chein,null,null,null,null,null,null,null,null,null
22/01/25,trabajo en taller,null,null,null,null,null,null,null,null,null,null,null,null
23/01/25,retiro de insumo,null,null,municipalidad,null,lampara de 80w,10,null,null,null,null,null,null
23/01/25,colocacion,la cuchilla,null,flia molinari,null,guirnalda,1,lampara de 80w,11,null,null,null,null
23/01/25,colocacion,la cuchilla,null,flia molinari,null,reflector,null,cable concentrico,null,null,null,null,null
23/01/25,bajada de electricidad,la cuchilla,null,flia molinari,null,bajada para sonido y luz,2,null,null,null,null,null,null
23/01/25,colocacion,la cuchilla,null,flia molinari,null,antibanda,1,reflectores,2,null,null,null,null
23/01/25,colocacion de lampara,america del norte,null,america del norte y corrientes desde flia leiva hasta flia farias,las americas,lampara de 80w,4,null,null,null,null,null,null
23/01/25,colocacion de lampara,cordoba,null,cordoba y america del norte flia ragel bravo,null,lampara de 80w,1,null,null,null,null,null,null
30/01/25,colocacion de lampara,homero mansi,null,barrio cooperativa calle homero masi,cooperativa,lampara de 80w,2,null,null,null,null,null,null
30/01/25,colocacion,null,null,cementerio,null,toma corriente,4,null,null,null,null,null,null
30/01/25,trabajo en taller,null,null,null,null,null,null,null,null,null,null,null,null
30/01/25,retiro mangueras navideñas,raul alfonsin,null,av. del agro,null,null,null,null,null,null,null,null,null
28/01/25,colocacion de lampara,laprida,null,entre 25 de mayo y colon,null,lampara de 80w,1,null,null,null,null,null,null
28/01/25,colocacion de lampara,godoy cruz,null,flia rosa santillan,null,lampara de 80w,null,null,null,null,null,null,null
03/02/25,reparacion,general taboada,null,entre moreno y dorrego,null,null,null,null,null,null,null,null,null
03/02/25,colocacion de lampara,libertad,null,entre jesus fernandez y 9 de julio,null,lampara de 80w,1,null,null,null,null,null,null
03/02/25,colocacion de lampara,raul alfonsin,null,entre raul alfonsin y america del norte (ramon mansilla),las americas,lampara de 80w,1,null,null,null,null,null,null
03/02/25,colocacion de lampara,los castillo,null,entre pozo zuni y la loma,null,lampara de 80w,2,null,null,null,null,null,null
03/02/25,colocacion de lampara,pasaje santos vega,null,pasaje santos vega,aguila,lampara de 80w,1,null,null,null,null,null,null
03/02/25,colocacion de lampara,calle gerez,null,al lado de sportivo (mari delveliz),null,lampara de 80w,1,null,null,null,null,null,null
03/02/25,colocacion de lampara,chazarreta,null,chazarreta y dario bovetti,las malvinas,lampara de 80w,1,null,null,null,null,null,null
03/02/25,cambio de focos,av. 25 de mayo,null,veredon y bulevar,null,lampara de 80w,2,lampara de 40w ,5,null,null,null,null
19/12/24,retiro de insumo,san martin,null,municipalidad,null,lamparas 100w,10,null,null,null,null,null,null
19/12/24,colocacion de lampara,cordoba,publico,cordoba y uriarte,2 de abril ampliacion,lampara 80w,1,null,null,null,null,null,null
19/12/24,arreglo de cable caido del alumbrado,borges,publico,borges y saavedra,null,null,null,null,null,null,null,null,null
20/12/24,colocacion de lampara,27 de abril,publico,27 de abril y belgrano,null,lampara 80w,1,null,null,null,null,null,null
20/12/24,retiro de insumo,null,null,municipalidad,null,lampara de 80w,10,null,null,null,null,null,null
21/12/24,colocacion de lampara,uriarte,null,uriarte y corrientes,3 de abril,lamparas 80w,2,null,null,null,null,null,null
21/12/24,retiro de insumo,san martin,null,municipalidad,centro,lamparas 100w,8,null,null,null,null,null,null
21/12/24,colocacion de lampara,namuncura,null,cruzando ruta 34,null,lamparas 100w,1,null,null,null,null,null,null
21/12/24,colocacion de lampara,tucuman,null,entre colon y almirante brown,null,lampara de 80w,1,null,null,null,null,null,null
22/12/24,reconexion,null,null,plazoleta del maipu,maipu,null,null,null,null,null,null,null,null
22/12/24,colocaion de lampara,america central,null,frente a la escuela paul harris,null,lampara de 80w,1,null,null,null,null,null,null
22/12/24,colocacion de lampara,mar argentino,null,mar argentino y santa fe,2 de abril,lampara de 80w,1,null,null,null,null,null,null
23/12/24,colocacion de lampara,congreso,publico,congreso y martin fierro,null,lampara 80w,1,null,null,null,null,null,null
