fecha,trabajo_realizado,calle,tipo,referencia,barrio,insumos_1,cantidad_1,insumos_2,cantidad_2,insumos_3,cantidad_3,insumos_4,cantidad_4
11/02/25,timer corregido de comando,belgrano,null,tauil,null,null,null,null,null,null,null,null,null
11/02/25,limpieza aire acondicionado,null,null,taller propio,null,null,null,null,null,null,null,null,null
11/02/25,arreglo de toma corriente,san martin,null,municipalidad,centro,null,null,null,null,null,null,null,null
12/02/25,colocacion de lampara y reconexion,ruta 34,null,desde sarmiento a alfonsin,null,lamparas 100w,18,6 reconexiones?,null,null,null,null,null
13/02/25,retiro de insumo,san martin,null,municipalidad,centro,lamparas 80w,10,null,null,null,null,null,null
13/02/25,colocacion de lampara,null,null,calle de edu cameraneci ,libertad,lamparas 80w,2,null,null,null,null,null,null
13/02/25,colocacion de lampara,san martin,null,pegado al comando,libertad,lamparas 80w,1,null,null,null,null,null,null
13/02/25,colocacion de lampara,san martin,null,flia cordoba,libertad,lamparas 80w,1,null,null,null,null,null,null
13/02/25,colocacion de lampara,null,null,lado de las vias,libertad,lamparas 80w,1,null,null,null,null,null,null
13/02/25,colocacion de lampara,colon,null,flia soplan ,san antonio,lamparas 80w,1,null,null,null,null,null,null
13/02/25,colocacion de lampara,almirante brown,null,almirante brown y tucuman,null,lamparas 80w,1,null,null,null,null,null,null
13/02/25,colocacion de lampara,uriarte ,null,uriarte y santa fe ,2 de abril,lamparas 80w,1,null,null,null,null,null,null
13/02/25,colocacion de brazo y lampara,null,null,flia vicente corvalan,aguila,lamparas 80w,1,brazo ,1,null,null,null,null
14/02/25,retiro de insumo,san martin,null,municipalidad,centro,lamparas 80w,10,null,null,null,null,null,null
14/02/25,bajada para obra,san martin,null,prolongacion,null,null,null,null,null,null,null,null,null
14/02/25,colocacion de lampara,almirante brown,null, almirante brown y patricia carol,21 de septiembre,lamparas 80w,1,null,null,null,null,null,null
14/02/25,colocacion de lampara,chazarreta,null,entre sarmiento y alem,san antonio,lamparas 80w,1,null,null,null,null,null,null
14/02/25,colocacion de lampara,null,null,flia julio gomez (lado del comando),aguila,lamparas 80w,1,null,null,null,null,null,null
14/02/25,cambio de caja en comando,null,null,galpon del ferro,null,null,null,null,null,null,null,null,null
14/02/25,colocacion de lampara,libertad,null,libertad y santiago del estero,null,lamparas 80w,1,null,null,null,null,null,null
14/02/25,colocacion de lampara,null,null,frente a la cancha,la loma,lamparas 80w,1,null,null,null,null,null,null
14/02/25,colocacion de brazo y lampara,inmigrantes,null,inmigrantes y sargento cabral,null,lamparas 80w,1,brazo ,1,null,null,null,null
21/02/25,retiro de insumo,san martin,null,municipalidad,centro,lamparas 100w,8,null,null,null,null,null,null
21/02/25,colocacion de lampara,alfonsin,null,alfonsin y 25 de mayo,null,lamparas 100w,1,null,null,null,null,null,null
21/02/25,colocacion de lampara,9 de julio,null,entre san martin y belgrano,null,lamparas 100w,1,null,null,null,null,null,null
21/02/25,colocacion de lampara,null,null,frente a nicolosi,null,lamparas 100w,4,null,null,null,null,null,null
21/02/25,colocacion de lampara,belgrano,null,frente a la casa de veron,belgrano,lamparas 100w,1,null,null,null,null,null,null
21/02/25,colocacion de lampara,belgrano,null,entre n.diaz y f. duran,belgrano,lamparas 100w,1,null,null,null,null,null,null
21/02/25,colocacion de lampara,null,null,predio de los feriantes,null,lamparas 100w,2,cable concentrico,3mt,null,null,null,null
21/02/25,reparacion de semaforo,belgrano,null,belgrano y dorrego,null,null,null,null,null,null,null,null,null
21/02/25,llave termica baja,null,null,escuela buey muerto,null,null,null,null,null,null,null,null,null
24/02/25,retiro de insumo,san martin,null,municipalidad,centro,lamparas 100w,11,lamparas 80w,4,null,null,null,null
24/02/25,acomodar cable de semaforo,jesus fernandez,null,jesus fernandez y libertad,null,null,null,null,null,null,null,null,null
24/02/25,colocacion de lampara,remedios de escalada,null,entre santiago del estero y 27 de abril,null,lamparas 100w,1,null,null,null,null,null,null
24/02/25,colocacion de lampara,remedios de escalada,null,entre santiago del estero y 27 de abril,null,lamparas 100w,1,null,null,null,null,null,null
24/02/25,colocacion de lampara,almirante brown,null,entre alfonsin y santa fe,null,lamparas 100w,2,null,null,null,null,null,null
24/02/25,colocacion de lampara,almirante brown,null,entre santa fe y cordoba,null,lamparas 100w,1,null,null,null,null,null,null
24/02/25,puente cortado,martin fierro,null,martin fierro y san martin,null,null,null,null,null,null,null,null,null
24/02/25,armado de jaula antibandalos,null,null,taller propio,null,null,null,null,null,null,null,null,null
25/02/25,poda de arbol,moreno,null,san martin y libertad,null,null,null,null,null,null,null,null,null
