fecha,trabajo_realizado,calle,categoria,referencia,barrio,insumos_1,cantidad_1,fechasarregladas,mes
2024-11-03,cambio de contactor en comando,desconocido,Reemplazo de insumos electricos,desconocido,belgrano,no se usaron insumos,0,2024-11-03,2024-11
2024-11-03,luminarias,san martin,Trabajos generales / Varios,en frente de chelala,desconocido,no se usaron insumos,0,2024-11-03,2024-11
2024-11-03,timer corregido de comando,belgrano,Cambio de Timer / Programación,tauil,desconocido,no se usaron insumos,0,2024-11-03,2024-11
2024-11-03,colocacion de lampara,coronel lugones,Instalaciónes Varias,frente a richard garcia,desconocido,lampara 100w,1,2024-11-03,2024-11
2024-11-03,poda de arbol,desconocido,Trabajos generales / Varios,camino al vivero,desconocido,no se usaron insumos,0,2024-11-03,2024-11
2024-11-03,cambio de fotocelula,desconocido,Reemplazo de insumos electricos,la loma,victoria,no se usaron insumos,0,2024-11-03,2024-11
2024-11-03,timer corregido de comando,desconocido,Cambio de Timer / Programación,desconocido,libertad,no se usaron insumos,0,2024-11-03,2024-11
2024-11-03,timer corregido de comando,desconocido,Cambio de Timer / Programación,desconocido,cooperativa,no se usaron insumos,0,2024-11-03,2024-11
2024-11-03,timer corregido de comando,desconocido,Cambio de Timer / Programación,plaza mitre,centro,no se usaron insumos,0,2024-11-03,2024-11
2024-11-02,poda de arbol,san martin,Trabajos generales / Varios,panaderia la amistad,centro,no se usaron insumos,0,2024-11-02,2024-11
2024-11-02,empalme de cables de semaforo,san martin,Trabajos generales / Varios,san martin y santiago del estero,desconocido,no se usaron insumos,0,2024-11-02,2024-11
2024-11-02,colocacion de lampara,santa fe,Instalaciónes Varias,santa fe y uriarte,2 de abril,lampara 80w,1,2024-11-02,2024-11
2024-11-02,colocacion de lampara,uriarte,Instalaciónes Varias,uriarte y corrientes,3 de abril,lampara 80w,2,2024-11-02,2024-11
2024-11-02,timer corregido de comando,belgrano,Cambio de Timer / Programación,tauil,desconocido,no se usaron insumos,0,2024-11-02,2024-11
2024-11-02,limpieza aire acondicionado,desconocido,Trabajos generales / Varios,taller propio,desconocido,no se usaron insumos,0,2024-11-02,2024-11
2024-11-02,arreglo de toma corriente,san martin,Trabajos generales / Varios,municipalidad,centro,no se usaron insumos,0,2024-11-02,2024-11
2024-12-02,colocacion de lampara y reconexion,ruta 34,Instalaciónes Varias,desde sarmiento a alfonsin,desconocido,lampara 100w,18,2024-12-02,2024-12
2025-02-13,retiro de insumo,san martin,Retiro de insumos varios,municipalidad,centro,lampara 80w,10,2025-02-13,2025-02
2025-02-13,colocacion de lampara,desconocido,Instalaciónes Varias,calle de edu cameraneci ,libertad,lampara 80w,2,2025-02-13,2025-02
2025-02-13,colocacion de lampara,san martin,Instalaciónes Varias,pegado al comando,libertad,lampara 80w,1,2025-02-13,2025-02
2025-02-13,colocacion de lampara,san martin,Instalaciónes Varias,flia cordoba,libertad,lampara 80w,1,2025-02-13,2025-02
2025-02-13,colocacion de lampara,desconocido,Instalaciónes Varias,lado de las vias,libertad,lampara 80w,1,2025-02-13,2025-02
2025-02-13,colocacion de lampara,colon,Instalaciónes Varias,flia soplan ,san antonio,lampara 80w,1,2025-02-13,2025-02
2025-02-13,colocacion de lampara,almirante brown,Instalaciónes Varias,almirante brown y tucuman,desconocido,lampara 80w,1,2025-02-13,2025-02
2025-02-13,colocacion de lampara,uriarte ,Instalaciónes Varias,uriarte y santa fe ,2 de abril,lampara 80w,1,2025-02-13,2025-02
2025-02-13,colocacion de brazo y lampara,desconocido,Instalaciónes Varias,flia vicente corvalan,aguila,lampara 80w,1,2025-02-13,2025-02
2025-02-14,retiro de insumo,san martin,Retiro de insumos varios,municipalidad,centro,lampara 80w,10,2025-02-14,2025-02
2025-02-14,bajada para obra,san martin,Bajada de energía,prolongacion,desconocido,no se usaron insumos,0,2025-02-14,2025-02
2025-02-14,colocacion de lampara,almirante brown,Instalaciónes Varias, almirante brown y patricia carol,21 de septiembre,lampara 80w,1,2025-02-14,2025-02
2025-02-14,colocacion de lampara,chazarreta,Instalaciónes Varias,entre sarmiento y alem,san antonio,lampara 80w,1,2025-02-14,2025-02
2025-02-14,colocacion de lampara,desconocido,Instalaciónes Varias,flia julio gomez (lado del comando),aguila,lampara 80w,1,2025-02-14,2025-02
2025-02-14,cambio de caja en comando,desconocido,Reemplazo de insumos electricos,galpon del ferro,desconocido,no se usaron insumos,0,2025-02-14,2025-02
2025-02-14,colocacion de lampara,libertad,Instalaciónes Varias,libertad y santiago del estero,desconocido,lampara 80w,1,2025-02-14,2025-02
2025-02-14,colocacion de lampara,desconocido,Instalaciónes Varias,frente a la cancha,la loma,lampara 80w,1,2025-02-14,2025-02
2025-02-14,colocacion de brazo y lampara,inmigrantes,Instalaciónes Varias,inmigrantes y sargento cabral,desconocido,lampara 80w,1,2025-02-14,2025-02
2025-02-21,retiro de insumo,san martin,Retiro de insumos varios,municipalidad,centro,lampara 100w,8,2025-02-21,2025-02
2025-02-21,colocacion de lampara,alfonsin,Instalaciónes Varias,alfonsin y 25 de mayo,desconocido,lampara 100w,1,2025-02-21,2025-02
2025-02-21,colocacion de lampara,9 de julio,Instalaciónes Varias,entre san martin y belgrano,desconocido,lampara 100w,1,2025-02-21,2025-02
2025-02-21,colocacion de lampara,desconocido,Instalaciónes Varias,frente a nicolosi,desconocido,lampara 100w,4,2025-02-21,2025-02
2025-02-21,colocacion de lampara,belgrano,Instalaciónes Varias,frente a la casa de veron,belgrano,lampara 100w,1,2025-02-21,2025-02
2025-02-21,colocacion de lampara,belgrano,Instalaciónes Varias,entre n.diaz y f. duran,belgrano,lampara 100w,1,2025-02-21,2025-02
2025-02-21,colocacion de lampara,desconocido,Instalaciónes Varias,predio de los feriantes,desconocido,lampara 100w,2,2025-02-21,2025-02
2025-02-21,reparacion de semaforo,belgrano,Reparación / Mantenimiento,belgrano y dorrego,desconocido,no se usaron insumos,0,2025-02-21,2025-02
